Rule ID,Rule Name,Field,Rule Type,Severity,Enabled,Message,Expected / Values
R001,BK-NUM-ERT required,BK-NUM-ERT,not_empty,error,Yes,BK-NUM-ERT must not be empty,
R002,BK-NUM-ERT numeric,BK-NUM-ERT,numeric,error,Yes,BK-NUM-ERT must be numeric,
R003,BK-NUM-ERT length check,BK-NUM-ERT,exact_length,error,Yes,BK-NUM-ERT must be exactly 5 characters,5
R004,APP-ERT required,APP-ERT,not_empty,error,Yes,APP-ERT must not be empty,
R005,APP-ERT numeric,APP-ERT,numeric,error,Yes,APP-ERT must be numeric,
R006,APP-ERT length check,APP-ERT,exact_length,error,Yes,APP-ERT must be exactly 3 characters,3
R007,LN-NUM-ERT required,LN-NUM-ERT,not_empty,error,Yes,LN-NUM-ERT must not be empty,
R008,LN-NUM-ERT length check,LN-NUM-ERT,length,error,Yes,LN-NUM-ERT payload length must be between 14 and 18 characters,14..18
R009,EFF-DAT-ERT required,EFF-DAT-ERT,not_empty,error,Yes,EFF-DAT-ERT must not be empty,
R010,EFF-DAT-ERT date format,EFF-DAT-ERT,date_format,error,Yes,EFF-DAT-ERT must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R011,EFF-DAT-ERT length check,EFF-DAT-ERT,exact_length,error,Yes,EFF-DAT-ERT must be exactly 10 characters,10
R012,TRN-COD-ERT required,TRN-COD-ERT,not_empty,error,Yes,TRN-COD-ERT must not be empty,
R013,TRN-COD-ERT numeric,TRN-COD-ERT,numeric,error,Yes,TRN-COD-ERT must be numeric,
R014,TRN-COD-ERT length check,TRN-COD-ERT,exact_length,error,Yes,TRN-COD-ERT must be exactly 5 characters,5
R015,TRN-COD-ERT valid values,TRN-COD-ERT,valid_values,error,Yes,TRN-COD-ERT must be one of: 32005,32005
R016,BAT-ITM-NUM-ERT required,BAT-ITM-NUM-ERT,not_empty,error,Yes,BAT-ITM-NUM-ERT must not be empty,
R017,BAT-ITM-NUM-ERT numeric,BAT-ITM-NUM-ERT,numeric,error,Yes,BAT-ITM-NUM-ERT must be numeric,
R018,BAT-ITM-NUM-ERT length check,BAT-ITM-NUM-ERT,exact_length,error,Yes,BAT-ITM-NUM-ERT must be exactly 9 characters,9
R019,INP-SRC-COD-ERT numeric,INP-SRC-COD-ERT,numeric,error,Yes,INP-SRC-COD-ERT must be numeric,
R020,TRN-CNT-ERT numeric,TRN-CNT-ERT,numeric,error,Yes,TRN-CNT-ERT must be numeric,
R021,CIF-ACT-NUM-CUS required,CIF-ACT-NUM-CUS,not_empty,error,Yes,CIF-ACT-NUM-CUS must not be empty,
R022,CIF-ACT-NUM-CUS length check,CIF-ACT-NUM-CUS,length,error,Yes,CIF-ACT-NUM-CUS payload length must be between 1 and 24 characters,1..24
R023,CIF-ACT-COD-CUS required,CIF-ACT-COD-CUS,not_empty,error,Yes,CIF-ACT-COD-CUS must not be empty,
R024,CIF-ACT-COD-CUS length check,CIF-ACT-COD-CUS,length,error,Yes,CIF-ACT-COD-CUS payload length must be between 1 and 1 characters,1..1
R025,CIF-CBR-RPT-IND-CUS valid values,CIF-CBR-RPT-IND-CUS,valid_values,error,Yes,CIF-CBR-RPT-IND-CUS must be one of: Y|N,Y|N
R026,DAT-BKY-REC-CUS date format,DAT-BKY-REC-CUS,date_format,error,Yes,DAT-BKY-REC-CUS must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R027,CIF-REF-NUM-CUS required,CIF-REF-NUM-CUS,not_empty,error,Yes,CIF-REF-NUM-CUS must not be empty,
R028,CIF-REF-NUM-CUS length check,CIF-REF-NUM-CUS,length,error,Yes,CIF-REF-NUM-CUS payload length must be between 1 and 3 characters,1..3
R029,ECOA-CODE-CUS valid values,ECOA-CODE-CUS,valid_values,error,Yes,ECOA-CODE-CUS must be one of: 1|2|3|4|5|6|7|T|W|X|Z,1|2|3|4|5|6|7|T|W|X|Z
R030,LAST-ECOA-CODE-CUS valid values,LAST-ECOA-CODE-CUS,valid_values,error,Yes,LAST-ECOA-CODE-CUS must be one of: 1|2|3|4|5|6|7|T|W|X|Z,1|2|3|4|5|6|7|T|W|X|Z
