"ID","Group","Title","Pre-conditions","Steps","Expected Result","Type","Priority","Status"
"TC-U-001","Parsers","Detect pipe-delimited format from sample","Sample pipe-delimited file available","valdo detect -f sample.txt","FormatDetector returns pipe_delimited with high confidence","unit","High","Current"
"TC-U-002","Parsers","Detect fixed-width format from sample","Sample fixed-width file available","Run FormatDetector against fixed-width sample","Returns fixed_width with confidence >= 0.8","unit","High","Current"
"TC-U-003","Parsers","Parse pipe-delimited file into DataFrame","PipeDelimitedParser available","Instantiate parser and call parse()","DataFrame returned with __source_row__ column","unit","High","Current"
"TC-U-004","Parsers","Fixed-width parser respects positions","FixedWidthParser + mapping with field positions","Parse a fixed-width file","Each field sliced by (start, end) declared in mapping","unit","High","Current"
"TC-U-005","Parsers","Chunked parser handles >100k rows","Large sample file","Parse with chunk_size=50000","Yields chunks; memory stays bounded","unit","High","Current"
"TC-U-006","Parsers","Strict fixed-width field-level checks","Mapping with declared field widths","Validate with --strict-fixed-width --strict-level format","Field-level format violations reported","unit","High","Current"
"TC-U-007","Parsers","Row tracking column appended","Any parser","Parse any file","__source_row__ column present and 1-indexed","unit","High","Current"
"TC-U-008","Validators","Field validator rejects nulls when required","FieldValidator + mapping marking field required","Validate row with null required field","Violation emitted with code NOT_NULL","unit","High","Current"
"TC-U-009","Validators","Regex rule applied to field","Mapping with regex rule","Validate against pattern","Pass when matches, violation otherwise","unit","High","Current"
"TC-U-010","Validators","Range rule (numeric min/max)","Mapping with range rule","Validate value outside range","Violation emitted with bounds","unit","High","Current"
"TC-U-011","Validators","Cross-field IF/THEN rule","Mapping with cross_field rule","Evaluate IF cond=true THEN field2 not_empty","Violation when consequent fails","unit","High","Current"
"TC-U-012","Validators","Cross-row unique rule","Rule type=unique on key column","Validate file with duplicate keys","Duplicates reported","unit","High","Current"
"TC-U-013","Validators","Cross-row sequential rule","Rule type=sequential on counter","File with gap in sequence","Gap reported with row numbers","unit","High","Current"
"TC-U-014","Validators","Cross-row group_count rule","group_count rule on group key","File where group count != expected","Violation per group","unit","High","Current"
"TC-U-015","Validators","Threshold breach by error count","Threshold with max_errors=0","Validate file with 1+ errors","Threshold reports breach","unit","High","Current"
"TC-U-016","Validators","Threshold breach by percentage","max_error_percent=1.0","Validate file with 2% errors","Threshold reports breach","unit","Medium","Current"
"TC-U-017","Multi-Record","Discriminator routes rows to per-type mapping","SHAW_ATOCTRAN.yaml umbrella","Validate ATOCTRAN sample","Each row dispatched by TRANSACTION-CODE","unit","High","Current"
"TC-U-018","Multi-Record","Batch header position-based routing","SHAW_TRANERT.yaml (position: first)","Validate TRANERT sample","First record matched as batch_header","unit","High","Current"
"TC-U-019","Multi-Record","Header_trailer_count cross-type rule","TRANERT umbrella with ITM-CNT-BRT rule","Validate file where count mismatches","Cross-type violation reported","unit","High","Current"
"TC-U-020","Multi-Record","Unknown discriminator -> error","umbrella default_action: error","Validate file with unknown code","Error logged for that row","unit","High","Current"
"TC-U-021","Multi-Record","Multi-record wizard service","Wizard YAML input","Run wizard non-interactively","YAML written and reloadable","unit","Medium","Current"
"TC-U-022","Comparators","File compare row-by-row","Two identical files","Run FileComparator","Zero differences","unit","High","Current"
"TC-U-023","Comparators","File compare with key columns","Two files differing on one field","Compare with -k customer_id","Field-level diff reported","unit","High","Current"
"TC-U-024","Comparators","Chunked comparator parity","Same file pair","Compare standard then chunked","Identical totals","unit","High","Current"
"TC-U-025","Database","Oracle adapter connect (thin mode)","ORACLE_USER/PASSWORD/DSN set","OracleConnection.from_env()","Connection opens; ping returns ok","unit","High","Current"
"TC-U-026","Database","PostgreSQL adapter pluggable","DB_ADAPTER=postgresql","Acquire connection via factory","Returns PostgresqlAdapter","unit","Medium","Current"
"TC-U-027","Database","SQLite adapter pluggable","DB_ADAPTER=sqlite","Acquire connection via factory","Returns SqliteAdapter","unit","Medium","Current"
"TC-U-028","Database","Schema reconciliation reports missing column","Mapping referencing missing column","reconcile mapping","Error: column not in DB","unit","High","Current"
"TC-U-029","Database","Reconcile-all aggregates per-mapping results","Directory with multiple mappings","reconcile-all -d config/mappings","Summary with totals and per-mapping rows","unit","High","Current"
"TC-U-030","Database","Drift detection vs baseline JSON","Baseline reconcile JSON","reconcile-all --baseline ... --fail-on-drift","Non-zero exit when new errors appear","unit","High","Current"
"TC-U-031","Database","Extractor writes CSV chunks","Oracle test table","valdo extract -t TABLE -o out.txt","Rows written; chunk count > 0","unit","Medium","Current"
"TC-U-032","Database","Transaction rolls back on error","Query executor in tx","Force error inside transaction","Tx rolled back; state clean","unit","High","Current"
"TC-U-033","API","Health endpoint public (no key)","Server running","GET /api/v1/system/health","200 OK without X-API-Key","unit","High","Current"
"TC-U-034","API","Missing X-API-Key returns 401","API_KEYS configured","GET /api/v1/mappings/ without header","401 Unauthorized","unit","High","Current"
"TC-U-035","API","Empty API_KEYS returns 503","API_KEYS env empty","Any protected endpoint","503 Service Unavailable","unit","High","Current"
"TC-U-036","API","Mappings upload happy path","Excel template","POST /api/v1/mappings/upload","200 + mapping JSON","unit","High","Current"
