Rule ID,Rule Name,Field,Rule Type,Severity,Enabled,Message,Expected / Values
R001,BK-NUM-ERT required,BK-NUM-ERT,not_empty,error,Yes,BK-NUM-ERT must not be empty,
R002,BK-NUM-ERT numeric,BK-NUM-ERT,numeric,error,Yes,BK-NUM-ERT must be numeric,
R003,BK-NUM-ERT length check,BK-NUM-ERT,exact_length,error,Yes,BK-NUM-ERT must be exactly 5 characters,5
R004,BK-NUM-ERT valid values,BK-NUM-ERT,valid_values,error,Yes,BK-NUM-ERT must be one of: 00040,00040
R005,APP-ERT required,APP-ERT,not_empty,error,Yes,APP-ERT must not be empty,
R006,APP-ERT numeric,APP-ERT,numeric,error,Yes,APP-ERT must be numeric,
R007,APP-ERT length check,APP-ERT,exact_length,error,Yes,APP-ERT must be exactly 3 characters,3
R008,APP-ERT valid values,APP-ERT,valid_values,error,Yes,APP-ERT must be one of: 001,001
R009,LN-NUM-ERT required,LN-NUM-ERT,not_empty,error,Yes,LN-NUM-ERT must not be empty,
R010,LN-NUM-ERT length check,LN-NUM-ERT,length,error,Yes,LN-NUM-ERT payload length must be between 14 and 18 characters,14..18
R011,EFF-DAT-ERT required,EFF-DAT-ERT,not_empty,error,Yes,EFF-DAT-ERT must not be empty,
R012,EFF-DAT-ERT date format,EFF-DAT-ERT,date_format,error,Yes,EFF-DAT-ERT must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R013,EFF-DAT-ERT length check,EFF-DAT-ERT,exact_length,error,Yes,EFF-DAT-ERT must be exactly 10 characters,10
R014,TRN-COD-ERT required,TRN-COD-ERT,not_empty,error,Yes,TRN-COD-ERT must not be empty,
R015,TRN-COD-ERT numeric,TRN-COD-ERT,numeric,error,Yes,TRN-COD-ERT must be numeric,
R016,TRN-COD-ERT length check,TRN-COD-ERT,exact_length,error,Yes,TRN-COD-ERT must be exactly 5 characters,5
R017,TRN-COD-ERT valid values,TRN-COD-ERT,valid_values,error,Yes,TRN-COD-ERT must be one of: 32025,32025
R018,BAT-ITM-NUM-ERT required,BAT-ITM-NUM-ERT,not_empty,error,Yes,BAT-ITM-NUM-ERT must not be empty,
R019,BAT-ITM-NUM-ERT numeric,BAT-ITM-NUM-ERT,numeric,error,Yes,BAT-ITM-NUM-ERT must be numeric,
R020,BAT-ITM-NUM-ERT length check,BAT-ITM-NUM-ERT,exact_length,error,Yes,BAT-ITM-NUM-ERT must be exactly 9 characters,9
R021,INP-SRC-COD-ERT numeric,INP-SRC-COD-ERT,numeric,error,Yes,INP-SRC-COD-ERT must be numeric,
R022,TRN-CNT-ERT numeric,TRN-CNT-ERT,numeric,error,Yes,TRN-CNT-ERT must be numeric,
R023,STP-ACR-ATY-COD-COD numeric,STP-ACR-ATY-COD-COD,numeric,error,Yes,STP-ACR-ATY-COD-COD must be numeric,
R024,DAT-PLC-IN-STP-COD date format,DAT-PLC-IN-STP-COD,date_format,error,Yes,DAT-PLC-IN-STP-COD must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R025,DAT-STP-ACR-RMD-COD date format,DAT-STP-ACR-RMD-COD,date_format,error,Yes,DAT-STP-ACR-RMD-COD must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R026,INT-ACR-WHI-STP-COD numeric,INT-ACR-WHI-STP-COD,numeric,error,Yes,INT-ACR-WHI-STP-COD must be numeric,
R027,LGL-STA-COD-COD valid values,LGL-STA-COD-COD,valid_values,error,Yes,LGL-STA-COD-COD must be one of: STL|RPO|B06|FCL|PRP|TBD,STL|RPO|B06|FCL|PRP|TBD
R028,DAT-LAS-RPO-COD date format,DAT-LAS-RPO-COD,date_format,error,Yes,DAT-LAS-RPO-COD must be a valid date (MM/DD/CCYY),MM/DD/CCYY
R029,RPO-COD-COD numeric,RPO-COD-COD,numeric,error,Yes,RPO-COD-COD must be numeric,
R030,RPO-COD-COD valid values,RPO-COD-COD,valid_values,error,Yes,RPO-COD-COD must be one of: 0|1,0|1
R031,DUE-DAT-DAY-COD required,DUE-DAT-DAY-COD,not_empty,error,Yes,DUE-DAT-DAY-COD must not be empty,
R032,DUE-DAT-DAY-COD numeric,DUE-DAT-DAY-COD,numeric,error,Yes,DUE-DAT-DAY-COD must be numeric,
